idcliente,plan_internacional_preferente,plan_internet_ilimitado,mb_navegados,total_minutos_horario_normal,total_llamadas_horario_normal,cobro_llamadas_horario_normal,total_minutos_horario_reducido,total_llamadas_horario_reducido,cobro_llamadas_horario_reducido,total_minutos_horario_nocturno,total_llamadas_horario_nocturno,cobro_llamadas_horario_nocturno,total_minutos_llamadas_internacionales,total_llamadas_internacionales,cobro_llamadas_internacionales,llamadas_a_servicio_de_atencion_al_cliente,fuga
2479,No,Si,3400,305.2,80,28586,156.5,109,7328,280,81,6943,13.2,7,1962,1,Vigente
2480,Si,Si,2900,162.3,91,15202,279.3,79,13081,192.7,131,4777,11.7,2,1451,3,Fugado
2481,Si,No,0,150,106,14051,293.8,123,13758,250.7,65,6215,10.3,7,1277,3,Vigente
2482,No,No,0,197.5,114,18503,206.9,119,9692,163.6,109,4055,11.3,4,1681,1,Vigente
2483,No,No,0,240.2,67,22497,153,98,7169,249,72,6177,10.2,6,1515,2,Vigente
2484,No,Si,3000,186.2,117,17439,286.7,76,13428,164.3,113,4072,12.9,3,1917,2,Vigente
2485,No,Si,3900,116.9,127,10948,276.5,88,12949,289.9,125,7191,12.3,2,1829,0,Vigente
2486,No,Si,1700,236.7,95,22172,263.5,56,12342,259.6,107,6436,12,4,1785,1,Vigente
2487,No,No,0,173.2,93,16221,131.2,80,6144,170.9,104,4237,5.4,3,804,0,Vigente
2488,No,No,0,152.2,114,14254,137.2,102,6425,185.9,97,4612,9.8,3,1460,0,Vigente
2489,No,No,0,181.3,135,16982,182.4,108,8541,180.6,103,4480,6.7,2,997,0,Vigente
2490,No,No,0,167.8,72,15720,211,99,9885,153.5,109,3807,10.5,6,1565,4,Fugado
2491,No,No,0,175.4,125,16431,250.7,87,11742,289.3,74,7174,9.8,9,1460,1,Vigente
2492,No,No,0,87.6,112,8204,266.9,107,12502,214.6,104,5323,9.8,10,1460,2,Vigente
2493,No,No,0,203.3,45,19043,141.9,87,6645,200.7,71,4976,8.5,6,1267,0,Vigente
2494,No,No,0,92.6,95,8673,161.9,70,7582,285,78,7069,11.3,3,1681,5,Fugado
2495,No,Si,2100,262.9,135,24624,149.5,96,7003,140.5,109,3482,8.1,4,1207,1,Vigente
2496,No,No,0,160.8,91,15064,155.8,82,7295,254.3,103,6303,8.5,3,1267,1,Vigente
2497,No,Si,2200,141.8,116,13285,167.3,99,7835,178.1,130,4414,7.8,3,1163,1,Vigente
2498,No,Si,3200,50.6,62,4739,201.4,87,9433,146.8,121,3642,4.2,4,623,2,Vigente
2499,No,No,0,134.9,59,12634,156,152,7306,197.5,112,4898,10.2,5,1515,1,Vigente
2500,No,No,0,252.1,110,23616,226.1,103,10590,155.6,83,3857,13.8,3,2055,1,Vigente
2501,No,Si,4100,215.5,95,20189,241.8,92,11323,147,108,3642,9.6,3,1427,1,Vigente
2502,No,No,0,124.8,66,11692,257.2,85,12045,193.2,115,4788,13.4,4,1995,0,Vigente
2503,No,No,0,178.7,114,16739,271,96,12695,245.9,94,6100,16.4,5,2441,2,Vigente
2504,No,No,0,183.2,131,17158,179.2,73,8392,292.8,100,7262,9.9,5,1471,2,Vigente
2505,No,No,0,167.5,96,15692,139.1,104,6513,138.4,87,3433,13,1,1934,1,Vigente
2506,No,No,0,147.1,105,13781,200,135,9367,234.9,65,5824,12.5,9,1862,3,Vigente
2507,No,No,0,230.1,107,21555,212,120,9929,174.9,119,4336,13.2,4,1962,1,Vigente
2508,No,No,0,135.8,125,12723,163.2,88,7642,229.8,106,5697,12.6,3,1873,0,Vigente
2509,No,Si,2000,205.7,98,19268,136.1,107,6375,159.4,147,3951,8.7,3,1295,2,Vigente
2510,No,No,0,73.8,105,6915,143.4,114,6717,170.2,98,4221,10.9,3,1620,2,Vigente
2511,No,No,0,189.3,119,17731,233.5,112,10937,270.9,104,6717,10,1,1488,2,Vigente
2512,No,No,0,147.2,115,13786,161.9,123,7582,142.1,103,3521,7.2,6,1069,3,Vigente
2513,No,Si,4200,137.3,95,12860,184.2,94,8629,231.4,70,5736,10.2,3,1515,0,Vigente
2514,No,No,0,70.7,125,6623,211,113,9885,174.6,107,4331,0,0,0,2,Vigente
2515,No,No,0,204.6,117,19164,205.2,94,9609,164.6,84,4083,10.7,5,1592,0,Vigente
2516,No,No,0,123.1,88,11532,213.9,84,10017,184.9,88,4584,12,2,1785,5,Fugado
2517,No,Si,1900,129.7,115,12150,160.8,101,7532,265,63,6573,12.2,3,1813,2,Vigente
2518,Si,No,0,198.7,70,18613,209.5,106,9813,281.9,126,6992,12.4,4,1538,0,Vigente
2519,No,No,0,145.1,116,13593,233.7,82,10943,208.7,95,5174,7.9,5,1174,2,Vigente
2520,No,No,0,135.2,101,12662,152.5,79,7141,224.8,83,5576,8.4,5,1251,2,Vigente
2521,No,Si,2800,124.7,105,11681,250.4,78,11725,216.4,128,5367,7.8,8,1163,1,Vigente
2522,No,No,0,215.9,76,20222,145.4,118,6810,186.9,129,4634,12.1,4,1802,1,Vigente
2523,No,No,0,119.2,142,11163,228.4,139,10695,197.9,61,4909,8.4,9,1251,2,Vigente
2524,No,No,0,144.3,116,13516,156.4,74,7323,214.7,90,5323,7.8,10,1163,3,Vigente
2525,No,No,0,235.2,121,22029,220.6,87,10331,236.3,91,5857,11.8,4,1758,1,Vigente
2526,No,No,0,174,57,16299,281.1,118,13163,197.2,94,4887,9.7,2,1444,0,Vigente
2527,Si,No,0,115,65,10772,122.3,96,5730,245,75,6078,6.4,1,794,0,Fugado
2528,No,No,0,151.7,93,14210,178.5,77,8359,229.1,111,5681,13.1,8,1951,2,Vigente
2529,No,No,0,153.1,102,14343,234.1,77,10965,329.2,74,8160,9.9,9,1471,3,Vigente
2530,No,No,0,218.6,93,20475,149.9,130,7020,204.6,131,5075,9.2,5,1366,2,Vigente
2531,No,No,0,265.2,122,24839,178.7,102,8370,174.7,90,4331,10.7,9,1592,2,Vigente
2532,No,No,0,143.3,134,13422,180.5,113,8452,184.2,87,4568,10.1,4,1504,1,Vigente
2533,No,No,0,190.3,98,17825,252.7,70,11835,220.6,97,5471,7.2,9,1069,2,Vigente
2534,No,No,0,184.7,60,17301,262,73,12271,239.5,120,5940,12.3,6,1829,2,Fugado
2535,No,No,0,115.3,99,10800,224.7,117,10524,152.5,98,3780,18,2,2678,1,Vigente
2536,No,No,0,113,108,10585,169.2,107,7923,156.6,61,3885,9.2,5,1366,2,Fugado
2537,No,No,0,294.2,100,27556,232.5,53,10888,195,64,4838,9,1,1339,0,Fugado
2538,No,No,0,215.6,86,20194,167.8,59,7857,207,67,5135,6.4,8,953,3,Vigente
2539,No,No,0,128.8,80,12067,208.7,93,9775,202.1,103,5009,14,7,2083,1,Vigente
2540,Si,Si,2800,211.2,117,19781,312.5,98,14635,178,118,4414,10.7,2,1327,3,Fugado
2541,No,Si,2400,71.2,82,6667,181.6,103,8507,186.9,111,4634,12.9,1,1917,1,Vigente
2542,No,No,0,94.9,121,8888,253.2,83,11858,175.1,86,4342,14.2,2,2110,2,Vigente
2543,No,No,0,259.4,116,24299,269.7,109,12629,175.3,130,4347,9.5,3,1416,1,Fugado
2544,No,Si,2800,215.8,123,20216,285.2,76,13356,192.1,78,4761,6.9,3,1025,1,Vigente
2545,No,No,0,97.5,113,9136,268.1,69,12557,255.3,62,6331,13.2,4,1962,3,Vigente
2546,No,No,0,146.5,121,13725,169.9,125,7956,238.8,112,5923,8.2,5,1218,0,Vigente
2547,No,No,0,157.9,72,14789,234,93,10959,210,86,5207,12.2,5,1813,2,Vigente
2548,No,No,0,139.9,117,13103,223.6,96,10475,240.8,93,5973,12.7,4,1890,2,Vigente
2549,No,Si,2100,153.2,112,14348,263.3,110,12331,135,85,3350,11.9,7,1769,1,Vigente
2550,Si,No,0,103.5,134,9698,319.3,111,14954,239.9,124,5951,8.4,4,1042,2,Vigente
2551,No,No,0,185.8,119,17406,192.3,83,9009,200,96,4959,6.6,4,981,1,Vigente
2552,No,No,0,129.5,56,12133,354.2,118,16591,145.5,93,3609,10.9,3,1620,1,Vigente
2553,No,No,0,236.6,91,22161,220.9,146,10348,146.8,114,3642,8.9,2,1322,1,Vigente
2554,No,No,0,260.4,107,24393,208.2,104,9753,207.9,115,5157,10,2,1488,6,Vigente
2555,No,No,0,167.3,100,15670,163.9,79,7675,185.9,100,4612,6.7,5,997,2,Vigente
2556,No,No,0,182.2,101,17064,212.3,95,9946,233,123,5780,9.3,4,1383,2,Vigente
2557,No,No,0,113,80,10585,150.1,87,7031,204.3,115,5064,10.8,4,1609,2,Vigente
2558,No,No,0,185.7,133,17395,235.1,149,11009,256.4,78,6359,16.9,6,2513,0,Vigente
2559,No,No,0,136.2,114,12756,165.1,118,7731,137.9,71,3422,9.6,5,1427,0,Vigente
2560,No,Si,2900,222.6,81,20850,190.3,109,8915,201.2,87,4987,11.5,2,1714,1,Vigente
2561,No,No,0,197.3,67,18481,264.5,106,12386,210.5,116,5218,9,6,1339,1,Vigente
2562,No,Si,3300,141.4,130,13246,186.4,114,8728,210,111,5207,7.7,6,1146,1,Vigente
2563,No,No,0,208,69,19483,95.1,94,4452,178.5,129,4425,8,11,1190,1,Vigente
2564,No,No,0,118.5,92,11103,177.8,109,8326,255.7,98,6342,12.1,4,1802,1,Vigente
2565,No,No,0,153.2,65,14348,229.7,90,10756,148.2,94,3675,10.7,8,1592,1,Vigente
2566,No,No,0,108.3,87,10144,183.6,116,8601,176.6,109,4380,13.5,2,2011,0,Vigente
2567,No,No,0,168.6,92,15792,187.7,107,8788,216.5,95,5367,14.4,8,2143,2,Vigente
2568,No,No,0,247.2,116,23153,303.7,103,14221,105.4,94,2612,9.3,2,1383,2,Fugado
2569,Si,No,0,224.2,81,20999,243.3,90,11395,147.8,66,3664,12,8,1488,3,Vigente
2570,No,No,0,166.9,98,15632,221.8,77,10386,243.9,114,6050,12.8,4,1906,3,Vigente
2571,No,Si,4300,118.4,100,11092,144.1,108,6750,158.1,91,3918,8.5,6,1267,1,Vigente
2572,No,No,0,190.9,62,17880,226.6,53,10612,230.1,96,5703,7.8,3,1163,2,Vigente
2573,No,No,0,317.8,60,29771,152.9,100,7163,123.4,63,3058,10.4,7,1548,1,Fugado
2574,No,No,0,312,112,29225,180,109,8430,168.6,94,4182,12.8,4,1906,1,Fugado
2575,No,No,0,146,121,13676,203,141,9510,151.8,120,3763,13.3,2,1978,1,Vigente
2576,No,No,0,131.6,95,12326,179.3,109,8397,251.2,129,6226,15.5,3,2309,1,Fugado
2577,No,Si,3300,193.4,105,18117,231.6,79,10849,226.2,90,5609,11.1,11,1653,2,Vigente
2578,No,No,0,185.1,92,17340,213,85,9979,196.1,85,4860,8.5,5,1267,2,Vigente
2579,No,No,0,193.3,106,18106,169,150,7918,225.2,122,5582,11.8,4,1758,0,Vigente
2580,No,No,0,146.4,107,13714,196.5,99,9202,230.1,106,5703,7.8,2,1163,1,Vigente
2581,No,No,0,71.2,90,6667,304.4,119,14254,183.3,103,4546,8.6,4,1278,0,Vigente
2582,No,No,0,123.2,104,11538,190,117,8899,170.3,95,4221,12.9,5,1917,4,Fugado
2583,No,No,0,205,90,19202,140.9,114,6601,272.6,96,6761,7.5,4,1119,2,Vigente
2584,No,No,0,128.7,78,12056,240.8,133,11279,237.7,121,5896,12.8,6,1906,1,Vigente
2585,No,No,0,216.9,78,20315,211,115,9885,179.8,116,4458,11.4,5,1697,3,Vigente
2586,No,No,0,150,122,14051,218.5,116,10232,212.4,89,5268,9.8,1,1460,3,Vigente
2587,No,No,0,164.1,106,15373,206,56,9648,194.7,124,4827,11.4,2,1697,1,Vigente
2588,No,No,0,212,113,19858,226.6,128,10612,193.6,114,4799,8.9,7,1322,3,Vigente
2589,No,Si,3700,167.3,99,15670,194.7,99,9119,236.7,112,5868,12,9,1785,2,Vigente
2590,No,No,0,154.4,130,14464,217.2,101,10171,185.4,52,4595,13.9,4,2066,1,Vigente
2591,No,Si,3000,177.3,95,16607,211.8,102,9918,240.2,108,5956,9.3,7,1383,3,Vigente
2592,No,No,0,231.2,141,21654,267.8,136,12541,240.3,100,5956,8.8,5,1311,1,Fugado
2593,No,No,0,202.9,100,19004,178.6,46,8364,203.8,116,5053,12.8,3,1906,5,Vigente
2594,No,No,0,149.6,120,14012,200.7,85,9400,181.2,107,4491,14.3,9,2127,0,Vigente
2595,Si,No,0,345.3,81,32344,203.4,106,9527,217.5,107,5394,11.8,8,1463,1,Fugado
2596,No,No,0,264.9,80,24812,281.2,66,13169,166.1,80,4116,8.4,4,1251,1,Fugado
2597,No,No,0,122,92,11428,138.3,114,6480,224.2,128,5560,5.8,5,865,1,Vigente
2598,No,No,0,177.2,88,16596,270.4,99,12662,231.5,90,5741,14,2,2083,2,Vigente
2599,No,No,0,133.1,80,12469,206.5,120,9670,221.6,96,5493,10.3,8,1532,1,Vigente
2600,No,No,0,225.1,90,21087,279.5,127,13092,233.8,103,5797,8.8,4,1311,0,Fugado
2601,No,No,0,208.4,120,19522,174.4,99,8166,310.7,105,7703,11.2,4,1664,1,Vigente
2602,No,Si,3000,173.1,107,16216,247.2,101,11577,158.7,104,3934,11.5,5,1714,1,Vigente
2603,Si,No,0,162.4,131,15213,167,102,7824,128.9,118,3196,11.4,2,1414,2,Fugado
2604,No,Si,1300,281.2,93,26338,178.2,101,8348,244.2,129,6055,6.4,5,953,2,Vigente
2605,No,No,0,208.3,89,19511,169.4,67,7934,102,90,2529,15.9,4,2364,3,Vigente
2606,No,Si,3800,243.4,126,22800,273.8,109,12822,282.9,91,7014,14.1,8,2099,2,Vigente
2607,No,No,0,224.2,89,20999,314.9,121,14750,182.9,121,4535,16.1,3,2397,1,Fugado
2608,No,No,0,189.3,100,17731,239.3,107,11207,89.7,89,2226,9.9,3,1471,3,Vigente
2609,No,Si,4600,168.3,124,15764,270.9,103,12690,222.5,98,5516,6.7,2,997,4,Vigente
2610,No,Si,2400,232.9,90,21814,152.1,94,7124,344.3,82,8535,10.7,6,1592,1,Vigente
2611,No,Si,3700,155,98,14519,142.4,105,6667,143.7,117,3565,5.9,4,876,1,Vigente
2612,No,No,0,154.4,130,14464,203.8,90,9543,158.7,59,3934,11.8,3,1758,0,Vigente
2613,No,No,0,234.7,102,21985,195.7,110,9163,253.4,71,6281,8.4,8,1251,2,Vigente
2614,No,No,0,240,88,22481,141,117,6606,128.9,137,3196,7.1,9,1058,1,Vigente
2615,Si,No,0,298.4,78,27952,270.5,142,12667,107.3,84,2661,12.2,2,1513,0,Fugado
2616,No,No,0,166,102,15549,236.1,97,11059,134.3,93,3328,10.9,4,1620,1,Vigente
2617,No,Si,3300,111.6,140,10452,213.3,111,9990,267.6,115,6634,16,3,2380,0,Vigente
2618,No,No,0,174.5,98,16348,180.2,103,8441,179,89,4441,10.7,2,1592,2,Vigente
2619,Si,Si,2700,175.5,137,16442,210.6,60,9863,294.8,121,7312,6.9,5,856,1,Vigente
2620,Si,Si,3500,157.5,109,14756,189.6,67,8882,227,76,5631,11.1,2,1376,3,Fugado
2621,No,No,0,206.2,113,19313,176.4,102,8259,297.1,119,7367,11,7,1636,1,Vigente
2622,No,Si,3500,207.5,138,19439,201,116,9417,164.5,107,4077,7.5,16,1119,4,Vigente
2623,No,Si,1600,144.8,105,13566,206.2,111,9659,255.4,117,6331,11.6,2,1725,4,Vigente
2624,No,No,0,258.8,85,24244,129.5,114,6067,193.6,106,4799,10.9,7,1620,2,Vigente
2625,No,No,0,226.9,106,21252,182.2,77,8535,203.9,107,5058,11.6,2,1725,0,Fugado
2626,No,No,0,152.9,119,14320,171.2,107,8017,257,106,6375,12,5,1785,2,Vigente
2627,No,Si,2700,156.7,51,14679,236.5,118,11075,123.2,111,3053,12.6,6,1873,2,Vigente
2628,No,No,0,150.8,85,14128,295.9,88,13858,247.2,104,6127,12.5,1,1862,1,Vigente
2629,No,No,0,221,126,20701,204.5,110,9576,118,98,2926,6.8,3,1014,4,Vigente
2630,No,Si,3200,322.4,92,30200,283.2,107,13263,209.5,111,5196,6.7,3,997,1,Fugado
2631,No,No,0,153.6,148,14387,262.1,87,12276,225.5,99,5593,9.8,3,1460,2,Vigente
2632,No,Si,2200,215.1,91,20150,138.9,102,6507,146.2,109,3626,12.4,2,1846,2,Vigente
2633,No,Si,3500,174.4,108,16337,196.7,100,9213,127.4,74,3157,11.8,3,1758,1,Vigente
2634,No,No,0,180.5,126,16910,230,98,10772,232.5,73,5763,10.6,3,1576,0,Vigente
2635,No,No,0,123.1,106,11532,182,102,8524,244.6,75,6067,12.6,7,1873,2,Vigente
2636,No,No,0,165.7,94,15522,257.4,80,12056,170.8,114,4237,10,4,1488,1,Vigente
2637,No,No,0,200.2,92,18751,118.7,87,5560,236.6,65,5868,6,6,893,2,Vigente
2638,No,No,0,154.8,82,14502,287.7,109,13472,208.4,80,5168,5.9,9,876,3,Vigente
2639,No,No,0,125.4,116,11747,261.5,95,12249,241.6,104,5989,11.4,9,1697,2,Vigente
2640,No,Si,3300,184.2,111,17252,312.6,89,14640,264,55,6546,12.2,4,1813,1,Vigente
2641,No,Si,2400,274.7,99,25732,193.5,118,9064,299.6,109,7427,10.8,3,1609,3,Vigente
2642,Si,Si,3900,142,140,13301,241.6,89,11318,302,72,7488,11.3,5,1401,1,Vigente
2643,Si,Si,2100,151.5,99,14194,147.8,89,6921,210.4,114,5218,10,4,1240,1,Vigente
2644,No,No,0,124.8,114,11692,133,121,6232,160.3,85,3973,10.6,7,1576,3,Vigente
2645,No,No,0,179.2,85,16783,222.9,66,10441,188.2,113,4667,12.4,2,1846,0,Vigente
2646,Si,No,0,246.4,110,23081,182,98,8524,157.6,106,3907,12.1,2,1500,2,Fugado
2647,No,No,0,232.7,114,21798,186.4,123,8728,153.3,122,3802,11.5,6,1714,5,Vigente
2648,No,No,0,288,120,26977,255.8,90,11979,233.4,99,5786,13.4,4,1995,0,Fugado
2649,No,Si,2300,170.8,145,16001,236.7,93,11086,294.5,100,7301,12.7,1,1890,1,Vigente
2650,No,No,0,216.1,114,20244,197.5,107,9251,217.8,104,5400,9.8,3,1460,1,Vigente
2651,No,No,0,138.7,100,12993,215.4,58,10089,164.3,98,4072,4.9,4,727,2,Vigente
2652,No,No,0,210.7,112,19737,238.7,73,11180,253.6,90,6287,9.2,5,1366,3,Vigente
2653,No,No,0,181.8,117,17031,158.1,91,7405,266.2,123,6601,9.7,9,1444,0,Vigente
2654,No,Si,3000,61.6,103,5769,255.1,110,11946,225.9,96,5604,12.4,5,1846,1,Vigente
2655,No,No,0,207.7,85,19456,196.7,112,9213,261.7,83,6491,6.8,3,1014,1,Vigente
2656,No,No,0,219.2,73,20530,167,65,7824,161.4,119,4000,10,5,1488,1,Vigente
2657,No,No,0,227,122,21263,258.7,111,12116,169.7,87,4210,8.9,1,1322,2,Vigente
2658,No,No,0,245.9,73,23032,240.1,87,11246,158.7,89,3934,8.9,5,1322,3,Vigente
2659,No,No,0,257.3,84,24101,184.8,115,8656,108.9,109,2700,13.5,7,2011,0,Vigente
2660,No,No,0,121.1,130,11345,216,86,10116,235.1,33,5830,16.1,5,2397,2,Vigente
2661,No,No,0,301.5,136,28244,257.7,72,12067,132.9,118,3295,13.4,2,1995,4,Fugado
2662,No,No,0,233.9,96,21908,218.9,111,10254,182.9,109,4535,9.5,3,1416,0,Vigente
2663,Si,No,0,99.6,108,9328,308.7,102,14458,161.2,62,3995,13.7,6,1699,2,Fugado
2664,No,No,0,169.8,123,15907,183.1,94,8574,395,72,9791,12.7,7,1890,2,Vigente
2665,Si,Si,2600,198.8,115,18624,166.6,67,7802,198.5,118,4920,14.4,3,1786,1,Fugado
2666,Si,No,0,116.2,86,10882,229.7,127,10756,204.2,109,5064,10.1,3,1252,3,Vigente
2667,Si,No,0,255.9,128,23969,140.9,92,6601,308.9,130,7659,12.1,2,1500,1,Fugado
2668,No,Si,2700,187.7,84,17582,221,147,10353,145.7,110,3615,10,4,1488,3,Vigente
2669,No,Si,2100,195.9,91,18348,213.9,84,10017,88.2,111,2187,8.6,4,1278,0,Vigente
2670,No,No,0,129.4,97,12122,185.4,101,8684,204.7,106,5075,1.1,2,165,2,Vigente
2671,No,Si,1200,221,108,20701,151,118,7075,179,80,4441,9,6,1339,2,Vigente
2672,No,No,0,140.5,92,13163,186.8,96,8750,227,89,5631,9.5,5,1416,2,Vigente
2673,Si,No,0,277.9,123,26029,155.8,112,7295,256.9,71,6370,9.2,10,1141,0,Fugado
2674,No,No,0,224.9,105,21065,250,101,11709,216.1,73,5356,6.7,5,997,3,Fugado
2675,No,No,0,109.1,117,10221,217.4,124,10182,188.4,141,4672,12.8,6,1906,0,Vigente
2676,No,No,0,207.8,109,19467,123.5,112,5786,291.6,115,7229,5.7,9,849,0,Vigente
2677,No,No,0,205.9,96,19285,257.1,94,12039,209,63,5179,12.1,8,1802,0,Vigente
2678,No,No,0,308.6,139,28905,150.8,94,7064,198.7,66,4926,7.3,3,1085,4,Fugado
2679,No,No,0,242.6,69,22723,209,117,9791,219.7,82,5449,14.4,6,2143,2,Vigente
2680,No,No,0,229.6,82,21506,138.1,103,6469,250.8,109,6221,3.3,3,490,1,Vigente
2681,No,Si,2800,166,62,15549,233.9,88,10954,170.1,84,4215,7.7,3,1146,2,Vigente
2682,No,No,0,144.8,126,13566,200.6,82,9395,208.8,81,5179,13.3,9,1978,0,Fugado
2683,Si,No,0,106.1,77,9940,123.5,100,5786,96.4,92,2391,12.9,3,1600,0,Vigente
2684,No,No,0,221.8,84,20778,166,125,7775,210.2,72,5212,13.2,4,1962,1,Vigente
2685,No,No,0,204.6,98,19164,212.5,90,9951,182.1,95,4513,9.8,7,1460,2,Vigente
2686,No,No,0,213.5,93,20001,166.6,114,7802,122,78,3025,14.1,3,2099,3,Vigente
2687,No,Si,4400,152,95,14238,274.9,73,12877,162.4,121,4028,10,1,1488,2,Vigente
2688,Si,Si,2900,260.8,81,24431,163.7,112,7664,271.7,117,6739,17,6,2108,1,Fugado
2689,No,No,0,166.4,117,15588,317,129,14849,160.4,121,3978,10,2,1488,1,Vigente
2690,No,No,0,177.9,83,16662,167.3,84,7835,223.7,142,5549,15.2,8,2259,0,Vigente
2691,No,No,0,235.1,97,22023,196.8,104,9218,259.7,110,6441,7,7,1041,3,Vigente
2692,No,No,0,186.8,92,17500,173.7,123,8133,250.9,131,6221,9.7,4,1444,2,Vigente
2693,Si,No,0,268.4,81,25142,174.4,115,8166,193.5,96,4799,11.6,4,1438,1,Vigente
2694,No,No,0,192.1,95,17996,249.8,94,11698,132.6,100,3289,7.3,3,1085,3,Vigente
2695,No,No,0,240.7,82,22547,269.4,85,12618,187.1,74,4639,10.1,3,1504,0,Fugado
2696,No,No,0,179.9,113,16850,149.8,112,7014,168.2,79,4171,9.8,7,1460,2,Vigente
2697,No,No,0,314.1,86,29423,222.4,99,10414,259,121,6425,12.3,5,1829,3,Fugado
2698,No,Si,4100,162,82,15175,324.7,77,15208,160.1,112,3967,11.9,5,1769,0,Vigente
2699,No,No,0,175.8,89,16469,274.3,119,12849,226.6,69,5620,12.4,4,1846,1,Vigente
2700,No,No,0,109.4,91,10249,207.5,111,9720,135,107,3350,11.6,5,1725,0,Vigente
2701,No,No,0,255.1,124,23897,230.6,110,10800,218,69,5405,8.5,5,1267,3,Fugado
2702,Si,No,0,208.7,84,19549,173.3,88,8116,264.7,107,6562,8.3,3,1029,3,Vigente
2703,No,Si,2000,214.6,108,20100,96.6,82,4524,170.7,145,4232,7.9,5,1174,1,Vigente
2704,No,No,0,49.2,121,4606,143.9,136,6739,203,97,5036,12.1,13,1802,1,Vigente
2705,No,No,0,141.3,133,13235,134.9,96,6320,227.5,97,5642,11.2,3,1664,2,Vigente
2706,No,No,0,253.2,89,23715,237.9,114,11141,154.3,85,3824,9.7,7,1444,4,Vigente
2707,No,No,0,206,128,19296,198.1,71,9279,135.9,116,3372,13.2,3,1962,0,Vigente
2708,No,No,0,40.4,105,3785,172.4,83,8072,145.1,89,3598,9,2,1339,2,Vigente
2709,No,No,0,291.2,104,27275,234.2,132,10970,191.7,87,4755,8.9,3,1322,1,Fugado
2710,No,Si,3100,71.2,58,6667,124.7,105,5841,155.5,108,3857,11.7,3,1741,0,Vigente
2711,No,No,0,261.8,69,24525,245,135,11477,202.1,94,5009,14.7,4,2187,0,Fugado
2712,No,No,0,191.3,134,17919,261.5,113,12249,182.3,111,4518,10,3,1488,1,Vigente
2713,No,No,0,133.3,101,12486,255.5,127,11968,228.6,68,5670,11.6,2,1725,0,Vigente
2714,No,Si,2400,183.6,138,17197,203.8,90,9543,166.9,89,4138,6,3,893,2,Vigente
2715,No,Si,3000,155.2,116,14535,195.5,50,9158,170.1,108,4215,15.4,6,2292,1,Vigente
2716,No,Si,2800,283.1,93,26520,185.4,98,8684,312.8,78,7758,6.1,8,909,1,Vigente
2717,No,Si,5000,186.5,94,17472,178,106,8337,215.6,100,5345,12.1,4,1802,2,Vigente
2718,No,Si,3800,163.3,104,15296,136,114,6370,249.1,127,6177,4.3,6,639,0,Vigente
2719,No,No,0,203.4,125,19054,182.9,88,8568,213.7,121,5301,13.8,2,2055,1,Vigente
2720,No,Si,1900,178.1,110,16684,212.8,100,9968,226.3,123,5609,10,6,1488,1,Vigente
2721,No,No,0,195.9,103,18348,89.1,95,4171,302.2,82,7494,10.3,3,1532,1,Vigente
2722,No,No,0,295.3,127,27660,127.4,100,5967,166.8,105,4138,9.6,6,1427,1,Vigente
2723,No,No,0,136.1,82,12750,156.3,118,7323,158.8,83,3940,10.1,5,1504,2,Vigente
2724,No,Si,2400,114.1,95,10689,161.5,86,7565,176.3,90,4369,13,9,1934,2,Vigente
2725,No,No,0,279.1,124,26145,180.5,108,8452,217.5,104,5394,9.5,11,1416,2,Fugado
2726,No,No,0,169.3,111,15858,139.5,69,6535,197,87,4887,12,3,1785,0,Vigente
2727,No,No,0,214.4,94,20084,138,149,6463,148.7,102,3686,9.9,1,1471,2,Vigente
2728,Si,No,0,255.8,125,23963,142.7,111,6684,181.2,101,4491,11.7,3,1451,0,Vigente
2729,No,No,0,148.2,71,13880,285.1,91,13351,166.4,155,4127,6.2,3,920,2,Vigente
2730,No,No,0,119.3,93,11174,223.9,103,10486,211.9,122,5257,8.7,4,1295,2,Vigente
2731,No,Si,2700,192.3,137,18012,199.9,115,9361,244.2,112,6055,14.8,8,2204,1,Vigente
2732,No,No,0,245.2,91,22966,217.2,92,10171,243.1,128,6028,13.9,6,2066,0,Fugado
2733,Si,No,0,216.2,106,20249,363.7,86,17031,126.7,123,3141,16.9,2,2096,5,Fugado
2734,No,No,0,172.4,114,16150,256.6,69,12017,235.3,104,5835,0,0,0,2,Vigente
2735,Si,Si,3000,175.3,107,16420,153.3,116,7180,233.6,85,5791,11.1,3,1376,1,Vigente
2736,Si,Si,2600,169,104,15830,188.8,104,8844,213.3,76,5290,13.3,3,1649,0,Fugado
2737,No,Si,2700,2.6,113,242,254,102,11896,242.7,156,6017,9.2,5,1366,3,Vigente
2738,No,No,0,184.1,143,17246,211.7,105,9912,243,116,6022,9.9,2,1471,1,Vigente
2739,No,No,0,181.9,90,17037,151.5,87,7097,143,100,3548,7.5,3,1119,1,Vigente
2740,No,Si,900,160.1,116,14998,210,121,9835,139.1,65,3449,10.8,9,1609,0,Vigente
2741,No,No,0,189.8,122,17781,173.7,85,8133,257.1,84,6375,10.3,1,1532,0,Vigente
2742,No,No,0,223.2,142,20905,216.5,114,10138,214.7,111,5323,12.4,2,1846,1,Vigente
2743,No,Si,3100,216,94,20233,225.1,123,10541,234.7,109,5819,10.7,1,1592,2,Vigente
2744,No,No,0,198.5,124,18596,266.6,100,12486,243.3,80,6033,8,7,1190,2,Vigente
2745,No,No,0,159.5,115,14943,195.4,118,9152,102.4,86,2540,7.1,7,1058,1,Vigente
